primaryTitle,startYear,runtimeMinutes
Texas Rangers,2001.0,90.0
Samsara,2001.0,145.0
Ticker,2001.0,92.0
Zoolander,2001.0,90.0
"Monsters, Inc.",2001.0,92.0
Druids,2001.0,120.0
Riding in Cars with Boys,2001.0,132.0
The Body,2001.0,109.0
Rock Star,2001.0,105.0
Moulin Rouge!,2001.0,127.0
One Night at McCool's,2001.0,93.0
Trouble Every Day,2001.0,101.0
Save the Last Dance,2001.0,112.0
Joy Ride,2001.0,97.0
My First Mister,2001.0,109.0
The Son's Room,2001.0,99.0
The Mummy Returns,2001.0,130.0
The Wedding Planner,2001.0,103.0
Jason X,2001.0,92.0
Knockaround Guys,2001.0,92.0
Amélie,2001.0,122.0
Blow Dry,2001.0,90.0
A.I. Artificial Intelligence,2001.0,146.0
Hannibal,2001.0,131.0
Pearl Harbor,2001.0,183.0
Belphegor: Phantom of the Louvre,2001.0,97.0
Enemy at the Gates,2001.0,131.0
Soul Survivors,2001.0,84.0
Antitrust,2001.0,108.0
Original Sin,2001.0,116.0
Human Nature,2001.0,96.0
Bandits,2001.0,123.0
Intacto,2001.0,108.0
Executive Protection,2001.0,112.0
Sleepless,2001.0,117.0
Blow,2001.0,124.0
The Glass House,2001.0,106.0
On the Edge,2001.0,85.0
An American Rhapsody,2001.0,106.0
Angel Eyes,2001.0,102.0
Made,2001.0,95.0
One 2 Ka 4,2001.0,169.0
The Score,2001.0,124.0
Spy Kids,2001.0,88.0
Formula 51,2001.0,93.0
Ghosts of Mars,2001.0,98.0
Atlantis: The Lost Empire,2001.0,95.0
The Others,2001.0,101.0
Sweet November,2001.0,119.0
Crocodile Dundee in Los Angeles,2001.0,95.0
Down to Earth,2001.0,87.0
The Fast and the Furious,2001.0,106.0
3000 Miles to Graceland,2001.0,125.0
Baran,2001.0,94.0
Novocaine,2001.0,95.0
Summer Catch,2001.0,104.0
Disco Pigs,2001.0,93.0
Josie and the Pussycats,2001.0,98.0
The Mexican,2001.0,123.0
Prozac Nation,2001.0,95.0
The Tailor of Panama,2001.0,109.0
Brotherhood of the Wolf,2001.0,142.0
The Pledge,2001.0,124.0
Captain Corelli's Mandolin,2001.0,131.0
Replicant,2001.0,100.0
Double Take,2001.0,88.0
Cats & Dogs,2001.0,87.0
Saving Silverman,2001.0,90.0
Say It Isn't So,2001.0,95.0
Sidewalks of New York,2001.0,108.0
The Center of the World,2001.0,88.0
The Swamp,2001.0,103.0
Dr. Dolittle 2,2001.0,87.0
Freddy Got Fingered,2001.0,87.0
Ocean's Eleven,2001.0,116.0
Serendipity,2001.0,90.0
Harry Potter and the Sorcerer's Stone,2001.0,152.0
Bully,2001.0,108.0
The Affair of the Necklace,2001.0,118.0
Exit Wounds,2001.0,101.0
Harvard Man,2001.0,99.0
The Hole,2001.0,102.0
L.I.E.,2001.0,97.0
Valentine,2001.0,96.0
Waking Life,2001.0,99.0
The Man Who Wasn't There,2001.0,116.0
Bridget Jones's Diary,2001.0,97.0
Fat Girl,2001.0,95.0
The Closet,2001.0,84.0
To End All Wars,2001.0,125.0
Wet Hot American Summer,2001.0,97.0
Good Advice,2001.0,93.0
American Outlaws,2001.0,94.0
Swordfish,2001.0,99.0
Dark Blue World,2001.0,112.0
Someone Like You,2001.0,97.0
Charlotte Gray,2001.0,121.0
The Forsaken,2001.0,90.0
Invincible,2001.0,133.0
Lost and Delirious,2001.0,103.0
Spirited Away,2001.0,125.0
And Your Mother Too,2001.0,106.0
Thir13en Ghosts,2001.0,91.0
Joe Dirt,2001.0,91.0
Who Is Cletis Tout?,2001.0,92.0
The Musketeer,2001.0,104.0
Donnie Darko,2001.0,113.0
Mostly Martha,2001.0,109.0
Tomcats,2001.0,95.0
The Believer,2001.0,98.0
The Shaft,2001.0,111.0
In the Bedroom,2001.0,131.0
The Princess Diaries,2001.0,115.0
Super Troopers,2001.0,100.0
Kabhi Khushi Kabhie Gham...,2001.0,210.0
No Such Thing,2001.0,102.0
Manitou's Shoe,2001.0,87.0
Ali,2001.0,157.0
Hedwig and the Angry Inch,2001.0,95.0
Asoka,2001.0,180.0
Domestic Disturbance,2001.0,89.0
Storytelling,2001.0,87.0
All Over the Guy,2001.0,95.0
Crazy/Beautiful,2001.0,99.0
The Experiment,2001.0,120.0
The Brothers,2001.0,106.0
Corky Romano,2001.0,86.0
The Deep End,2001.0,101.0
The Other Side of Heaven,2001.0,113.0
Legally Blonde,2001.0,96.0
Rat Race,2001.0,112.0
See Spot Run,2001.0,94.0
Series 7: The Contenders,2001.0,86.0
Evolution,2001.0,101.0
The Tunnel,2001.0,150.0
Buffalo Soldiers,2001.0,98.0
The Grey Zone,2001.0,108.0
Hearts in Atlantis,2001.0,101.0
Heist,2001.0,109.0
Manic,2001.0,100.0
American Pie 2,2001.0,108.0
The Bunker,2001.0,95.0
Last Orders,2001.0,109.0
Out Cold,2001.0,89.0
The Anniversary Party,2001.0,115.0
CQ,2001.0,88.0
Sex and Lucía,2001.0,128.0
The Piano Teacher,2001.0,131.0
Tortilla Soup,2001.0,102.0
The Animal,2001.0,84.0
Baby Boy,2001.0,130.0
The Devil's Backbone,2001.0,106.0
Intimacy,2001.0,119.0
Shallow Hal,2001.0,114.0
The Curse of the Jade Scorpion,2001.0,103.0
Chori Chori Chupke Chupke,2001.0,165.0
Scary Movie 2,2001.0,83.0
Torrente 2: Mission in Marbella,2001.0,99.0
Glass Tiger,2001.0,100.0
Pootie Tang,2001.0,81.0
Lovely & Amazing,2001.0,91.0
Bubble Boy,2001.0,84.0
Khushi,2001.0,169.0
Lammbock,2001.0,93.0
Girls on Top,2001.0,90.0
The Unsaid,2001.0,111.0
Don't Die Too Hard!,2001.0,92.0
Lantana,2001.0,121.0
Vanilla Sky,2001.0,136.0
Don't Say a Word,2001.0,113.0
Jay and Silent Bob Strike Back,2001.0,104.0
Session 9,2001.0,100.0
Jeepers Creepers,2001.0,90.0
Me Without You,2001.0,107.0
Dagon,2001.0,98.0
Frailty,2001.0,100.0
