primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
Father Stu,2022,124,6.5,23965,Rosalind Ross,4000000,21806425
Uncharted,2022,116,6.3,223014,Ruben Fleischer,120000000,400689914
"Lyle, Lyle, Crocodile",2022,106,6.1,10353,"Josh Gordon, Will Speck",50000000,107644101
Smile,2022,115,6.6,116811,Parker Finn,17000000,216049734
Barbarian,2022,102,7,141405,Zach Cregger,4500000,45352337
Avatar: The Way of Water,2022,192,7.7,339885,James Cameron,460000000,2316778069
The Gray Man,2022,122,6.5,212198,"Anthony Russo, Joe Russo",200000000,451178
Top Gun: Maverick,2022,130,8.3,562340,Joseph Kosinski,170000000,1481369482
The Batman,2022,176,7.8,688598,Matt Reeves,200000000,766326717
Elvis,2022,159,7.3,202203,Baz Luhrmann,85000000,279854594
Puss in Boots: The Last Wish,2022,102,7.9,111531,"Joel Crawford, Januel Mercado",90000000,483420341
Fantastic Beasts: The Secrets of Dumbledore,2022,142,6.2,149943,David Yates,200000000,404560145
Paws of Fury: The Legend of Hank,2022,98,5.7,5242,"Chris Bailey, Mark Koetsier, Rob Minkoff",45000000,40166138
Morbius,2022,104,5.2,134016,Daniel Espinosa,75000000,162759437
Minions: The Rise of Gru,2022,87,6.5,71816,"Kyle Balda, Brad Ableson, Jonathan del Val",80000000,939200081
Mrs. Harris Goes to Paris,2022,115,7.1,17421,Anthony Fabian,13000000,31188330
Moonfall,2022,130,5.1,85979,Roland Emmerich,150000000,59053195
Black Adam,2022,125,6.3,237383,Jaume Collet-Serra,200000000,391261706
A Man Called Otto,2022,126,7.4,52094,Marc Forster,50000000,108973274
Death on the Nile,2022,127,6.3,158396,Kenneth Branagh,90000000,130298184
Jurassic World: Dominion,2022,147,5.6,178750,Colin Trevorrow,165000000,1003775632
The Woman King,2022,135,6.8,57205,Gina Prince-Bythewood,50000000,94374749
Turning Red,2022,100,7,131373,Domee Shi,175000000,10964971
The Bad Guys,2022,100,6.8,46719,Pierre Perifel,70000000,250659286
The 355,2022,122,5.5,32144,Simon Kinberg,75000000,18902798
Black Panther: Wakanda Forever,2022,161,6.7,251348,Ryan Coogler,250000000,854041058
Where the Crawdads Sing,2022,125,7.2,89843,Olivia Newman,24000000,136539552
Doctor Strange in the Multiverse of Madness,2022,126,6.9,432214,Sam Raimi,200000000,952224986
The Menu,2022,107,7.2,284328,Mark Mylod,30000000,73040804
Jesus Revolution,2023,120,7.8,4862,"Jon Erwin, Brent McCorkle",15000000,52035413
Shazam! Fury of the Gods,2023,130,6.5,28019,David F. Sandberg,125000000,132128334
John Wick: Chapter 4,2023,169,8.3,89611,Chad Stahelski,100000000,352710888
Ant-Man and the Wasp: Quantumania,2023,124,6.4,94885,Peyton Reed,200000000,466009053
Creed III,2023,116,7.1,37494,Michael B. Jordan,75000000,271750498
65,2023,93,5.7,14175,"Scott Beck, Bryan Woods",45000000,56100231
Knock at the Cabin,2023,100,6.1,60480,M. Night Shyamalan,20000000,54629497
Scream VI,2023,122,7.1,38573,"Matt Bettinelli-Olpin, Tyler Gillett",35000000,167443772
80 for Brady,2023,98,5.8,4279,Kyle Marvin,28000000,39715674
Dungeons & Dragons: Honor Among Thieves,2023,134,7.6,23990,"Jonathan Goldstein, John Francis Daley",150000000,159720506
The Super Mario Bros. Movie,2023,92,7.4,3223,"Aaron Horvath, Michael Jelenic, Pierre Leduc, Fabien Polack",100000000,734658611
Operation Fortune: Ruse de guerre,2023,114,6.3,31573,Guy Ritchie,50000000,27542984
