primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,Production Budget,Worldwide Gross
Extraordinary Measures,2010,106,6.4,17700,Tom Vaughan,31000000,15826984
Conviction,2010,107,7.2,45666,Tony Goldwyn,12500000,11826980
Kick-Ass,2010,117,7.6,588983,Matthew Vaughn,28000000,97531134
Incendies,2010,131,8.3,194748,Denis Villeneuve,6800000,16017448
Icarus,2010,88,5.1,4340,Dolph Lundgren,6000000,0
Sex and the City 2,2010,146,4.5,83557,Michael Patrick King,95000000,294680778
The Spy Next Door,2010,94,5.4,46601,Brian Levant,28000000,46752858
The Tempest,2010,110,5.3,8158,Julie Taymor,20000000,277943
Date Night,2010,88,6.3,171023,Shawn Levy,55000000,152269033
Easy A,2010,92,7,413539,Will Gluck,8000000,76200721
The Social Network,2010,120,7.8,750817,David Fincher,40000000,224922135
Cats & Dogs: The Revenge of Kitty Galore,2010,82,4.3,16082,Brad Peyton,85000000,113026383
The Last Song,2010,108,6,91929,Julie Anne Robinson,20000000,92678948
Yogi Bear,2010,81,4.6,23281,Eric Brevig,80000000,204774690
Our Family Wedding,2010,103,5,7449,Rick Famuyiwa,14000000,21410546
Animal Kingdom,2010,113,7.2,60080,David Michôd,4200000,8078683
Devil,2010,80,6.3,155931,John Erick Dowdle,10000000,63354114
The Last Exorcism,2010,87,5.7,51859,Daniel Stamm,1800000,70165900
The Expendables,2010,103,6.4,362536,Sylvester Stallone,82000000,268268174
Gulliver's Travels,2010,85,4.9,73066,Rob Letterman,112000000,232017848
Death at a Funeral,2010,92,5.7,53290,Neil LaBute,21000000,48977233
Going the Distance,2010,103,6.3,59821,Nanette Burstein,32000000,43603990
Despicable Me,2010,95,7.6,577980,"Pierre Coffin, Chris Renaud",69000000,544707293
The Twilight Saga: Eclipse,2010,124,5.1,258681,David Slade,68000000,706102828
Never Let Me Go,2010,103,7.1,152179,Mark Romanek,15000000,11173718
Cyrus,2010,91,6.3,36530,"Jay Duplass, Mark Duplass",7000000,10062896
Four Lions,2010,97,7.3,84423,Christopher Morris,3750000,8607693
The Extra Man,2010,108,5.8,5385,"Shari Springer Berman, Robert Pulcini",7000000,492108
Made in Dagenham,2010,113,7.1,15996,Nigel Cole,8000000,15644196
Inception,2010,148,8.8,2517422,Christopher Nolan,160000000,825793570
Grown Ups,2010,102,6,271684,Dennis Dugan,75000000,272222420
Gunless,2010,89,6.4,3933,William Phillips,9900000,458054
Cop Out,2010,107,5.5,90114,Kevin Smith,37000000,55909910
The Other Guys,2010,107,6.6,285666,Adam McKay,100000000,170936470
Why Did I Get Married Too?,2010,121,4.7,10190,Tyler Perry,20000000,60831067
Marmaduke,2010,99,4.3,17366,Tom Dey,50000000,89895930
True Grit,2010,110,7.6,355048,"Ethan Coen, Joel Coen",35000000,252276928
Remember Me,2010,113,7.1,154898,Allen Coulter,16000000,56506120
For Colored Girls,2010,134,6.2,8152,Tyler Perry,21000000,38017873
Just Wright,2010,101,5.9,15498,Sanaa Hamri,12000000,21867665
You Again,2010,105,5.7,54176,Andy Fickman,20000000,32838945
Somewhere,2010,97,6.3,46487,Sofia Coppola,7000000,17023121
Stone,2010,105,5.4,42677,John Curran,22000000,4065020
Predators,2010,107,6.4,242212,Nimród Antal,40000000,127234389
Another Year,2010,129,7.4,30737,Mike Leigh,8000000,20005613
Faster,2010,98,6.4,111610,George Tillman Jr.,24000000,35792945
Charlie St. Cloud,2010,100,6.4,64467,Burr Steers,44000000,48478084
The American,2010,105,6.3,101524,Anton Corbijn,20000000,67950723
My Girlfriend's Boyfriend,2010,84,5.8,5979,Daryn Tufts,1400000,0
The Next Three Days,2010,133,7.3,205150,Paul Haggis,30000000,67255916
Letters to God,2010,110,6.2,5184,"David Nixon, Patrick Doughtie",3000000,3237452
Buried,2010,95,7,167546,Rodrigo Cortés,1987650,21270290
MacGruber,2010,90,5.6,47056,Jorma Taccone,10000000,8629895
Monsters,2010,94,6.4,97003,Gareth Edwards,500000,5639730
Saw 3D,2010,90,5.5,108611,Kevin Greutert,17000000,133735284
Paranormal Activity 2,2010,91,5.7,109273,Tod Williams,3000000,177512032
127 Hours,2010,94,7.5,397725,Danny Boyle,18000000,60217171
Country Strong,2010,117,6.3,18876,Shana Feste,15000000,20601987
Skyline,2010,92,4.5,91902,"Colin Strause, Greg Strause",10000000,68264973
Tiny Furniture,2010,98,6.2,14808,Lena Dunham,50000,424149
Housefull,2010,144,5.5,15524,Sajid Khan,10100000,18726300
Inside Job,2010,109,8.2,78530,Charles Ferguson,2000000,7799257
Vampires Suck,2010,82,3.4,51231,"Aaron Seltzer, Jason Friedberg",20000000,81424988
The Virginity Hit,2010,86,4.5,3976,"Huck Botko, Andrew Gurland",2000000,636706
The Rum Diary,2011,119,6.1,107690,Bruce Robinson,45000000,21544732
Real Steel,2011,127,7.1,351947,Shawn Levy,110000000,263880341
Puss in Boots,2011,90,6.6,190000,Chris Miller,130000000,554987477
Captain America: The First Avenger,2011,124,6.9,889265,Joe Johnston,140000000,370569776
Margaret,2011,150,6.5,18204,Kenneth Lonergan,14000000,623292
Tower Heist,2011,104,6.2,150175,Brett Ratner,85000000,150422946
The Smurfs,2011,103,5.4,95871,Raja Gosnell,110000000,563749323
The Mechanic,2011,93,6.5,169990,Simon West,42500000,76347393
The Tree of Life,2011,139,6.8,183090,Terrence Malick,35000000,61721826
Season of the Witch,2011,95,5.4,97766,Dominic Sena,40000000,91126600
Hall Pass,2011,105,5.9,130390,"Bobby Farrelly, Peter Farrelly",68000000,87173475
Something Borrowed,2011,112,5.8,64939,Luke Greenfield,35000000,65084116
What's Your Number?,2011,106,6,86528,Mark Mylod,20000000,30163785
Drive,2011,100,7.8,696529,Nicolas Winding Refn,15000000,81357930
Thor,2011,115,7,892964,Kenneth Branagh,150000000,449326618
Jack and Jill,2011,91,3.3,89680,Dennis Dugan,79000000,150519217
Take Me Home Tonight,2011,114,6.3,55016,Michael Dowse,19000000,7576604
Conan the Barbarian,2011,113,5.1,102338,Marcus Nispel,90000000,63356133
Priest,2011,87,5.7,123612,Scott Stewart,60000000,84154026
Red State,2011,88,6.1,66628,Kevin Smith,4000000,1983596
Sanctum,2011,108,5.9,57038,Alister Grierson,30000000,108957098
The Thing,2011,103,6.2,144501,Matthijs van Heijningen Jr.,38000000,27573078
Source Code,2011,93,7.5,545457,Duncan Jones,32000000,140428499
Hugo,2011,126,7.5,335158,Martin Scorsese,180000000,180047784
Sucker Punch,2011,110,6,251368,Zack Snyder,75000000,89758389
The Adventures of Tintin,2011,107,7.3,241719,Steven Spielberg,130000000,373993951
The Green Hornet,2011,119,5.8,164163,Michel Gondry,110000000,229155503
Hanna,2011,111,6.7,205987,Joe Wright,30000000,65343694
Straw Dogs,2011,110,5.8,35666,Rod Lurie,25000000,11253821
The Descendants,2011,115,7.3,250124,Alexander Payne,20000000,175507800
The Eagle,2011,114,6.2,73647,Kevin Macdonald,25000000,38993548
The Big Year,2011,102,6.2,47584,David Frankel,41000000,7684524
Water for Elephants,2011,122,6.9,119969,Francis Lawrence,38000000,116809717
Monte Carlo,2011,109,5.8,48178,Thomas Bezucha,20000000,39686769
Footloose,2011,113,5.8,52544,Craig Brewer,24000000,62989834
Paul,2011,104,6.9,264576,Greg Mottola,40000000,101162106
The Darkest Hour,2011,89,4.9,63522,Chris Gorak,34800000,64626786
The Ides of March,2011,101,7.1,229575,George Clooney,23000000,77735925
Green Lantern,2011,114,5.5,294667,Martin Campbell,200000000,219535492
Beastly,2011,86,5.5,79552,Daniel Barnz,17000000,38028230
The Rite,2011,114,6,102225,Mikael Håfström,37000000,97143987
The Lincoln Lawyer,2011,118,7.3,251977,Brad Furman,40000000,87145086
Rango,2011,107,7.3,289660,Gore Verbinski,135000000,245724600
The Muppets,2011,120,7.1,96387,James Bobin,45000000,160971922
Moneyball,2011,133,7.6,458744,Bennett Miller,50000000,111300835
Cars 2,2011,106,6.2,213640,"John Lasseter, Bradford Lewis",200000000,560155383
Limitless,2011,105,7.4,607248,Neil Burger,27000000,155564919
Zookeeper,2011,102,5.2,64666,Frank Coraci,80000000,170805525
Ironclad,2011,121,6.1,43476,Jonathan English,25000000,5297411
The Future,2011,91,6.1,9081,Miranda July,1000000,1239174
Your Highness,2011,102,5.5,104058,David Gordon Green,50000000,26121638
Salvation Boulevard,2011,96,5.3,4808,George Ratliff,5500000,28468
Immortals,2011,110,6,175475,Tarsem Singh,75000000,211562435
Scream 4,2011,111,6.2,169588,Wes Craven,40000000,95989590
The Roommate,2011,94,4.8,41060,Christian E. Christiansen,16000000,52545707
The Devil's Double,2011,109,7,63693,Lee Tamahori,19100000,5965646
X-Men: First Class,2011,131,7.7,718448,Matthew Vaughn,160000000,355408305
Bad Teacher,2011,92,5.7,211411,Jake Kasdan,19000000,215448997
Warrior,2011,140,8.1,493995,Gavin O'Connor,25000000,24215385
Pirates of the Caribbean: On Stranger Tides,2011,137,6.6,558435,Rob Marshall,379000000,1045713802
Kung Fu Panda 2,2011,90,7.2,312514,Jennifer Yuh Nelson,150000000,664837547
Mars Needs Moms,2011,88,5.4,23745,Simon Wells,150000000,39549758
50/50,2011,100,7.6,341644,Jonathan Levine,8000000,41334735
There Be Dragons,2011,122,5.7,5067,Roland Joffé,36000000,4020990
Rise of the Planet of the Apes,2011,105,7.6,553215,Rupert Wyatt,93000000,470986200
The Beaver,2011,91,6.6,50533,Jodie Foster,21000000,5046038
Arthur,2011,110,5.7,52874,Jason Winer,40000000,47787943
Tinker Tailor Soldier Spy,2011,127,7,211076,Tomas Alfredson,21000000,81428388
The Sitter,2011,81,5.6,72422,David Gordon Green,25000000,38749404
The Adjustment Bureau,2011,106,7,268735,George Nolfi,50200000,126931325
We Bought a Zoo,2011,124,7,150672,Cameron Crowe,50000000,118729073
Transformers: Dark of the Moon,2011,154,6.2,429281,Michael Bay,195000000,1123794079
Unknown,2011,113,6.8,268459,Jaume Collet-Serra,40000000,136123083
Happy Feet Two,2011,117,5.8,47339,"George Miller, Gary Eck, David Peers",135000000,157956462
No Strings Attached,2011,108,6.2,242366,Ivan Reitman,25000000,149228078
Bucky Larson: Born to Be a Star,2011,97,3.3,12777,Tom Brady,10000000,2529395
The Hangover Part II,2011,102,6.5,529487,Todd Phillips,80000000,586764305
Hop,2011,95,5.4,36626,Tim Hill,63000000,188494082
Kill the Irishman,2011,106,7,50875,Jonathan Hensleigh,12000000,1188194
A Lonely Place to Die,2011,99,6.2,30557,Julian Gilbey,4000000,442550
Arthur Christmas,2011,97,7.1,66746,"Sarah Smith, Barry Cook",85000000,147799400
Rio,2011,96,6.9,245700,Carlos Saldanha,90000000,487517241
Fright Night,2011,106,6.4,112480,Craig Gillespie,30000000,40520649
Martha Marcy May Marlene,2011,102,6.8,55462,Sean Durkin,1000000,5438911
Killer Elite,2011,116,6.4,134828,Gary McKendry,70000000,65409046
Winnie the Pooh,2011,63,7.1,28021,"Stephen J. Anderson, Don Hall",30000000,50145607
The Help,2011,146,8.1,487558,Tate Taylor,25000000,213120004
Dream House,2011,92,6,68879,Jim Sheridan,50000000,41642166
"Big Mommas: Like Father, Like Son",2011,107,4.4,29248,John Whitesell,32000000,82332450
Cedar Rapids,2011,87,6.3,39413,Miguel Arteta,10000000,7862131
Bridesmaids,2011,125,6.8,306915,Paul Feig,32500000,289632023
Attack the Block,2011,88,6.7,110976,Joe Cornish,13000000,6459183
Red Riding Hood,2011,100,5.4,115378,Catherine Hardwicke,42000000,91678442
5 Days of War,2011,113,5.6,14260,Renny Harlin,12000000,87793
The Change-Up,2011,112,6.3,194203,David Dobkin,52000000,75997067
Restless,2011,91,6.7,18328,Gus Van Sant,8000000,2772511
Horrible Bosses,2011,98,6.9,466737,Seth Gordon,35000000,212417601
Drive Angry,2011,104,5.4,102941,Patrick Lussier,50000000,41042583
Le Havre,2011,93,7.2,23246,Aki Kaurismäki,5500000,13480196
The Three Musketeers,2011,110,5.7,111556,Paul W.S. Anderson,90000000,139877913
Sherlock Holmes: A Game of Shadows,2011,129,7.4,476883,Guy Ritchie,125000000,535663443
Anonymous,2011,130,6.8,41985,Roland Emmerich,27500000,15815509
Melancholia,2011,135,7.1,193995,Lars von Trier,9400000,21817298
The Son of No One,2011,90,5.1,17822,Dito Montiel,15000000,1148578
The Guard,2011,96,7.3,94768,John Michael McDonagh,6000000,21197454
Snow Flower and the Secret Fan,2011,104,6.1,3981,Wayne Wang,6000000,11348205
Another Earth,2011,92,6.9,99447,Mike Cahill,175000,2102779
A Better Life,2011,98,7.2,16482,Chris Weitz,10000000,1884251
Higher Ground,2011,109,6.2,3267,Vera Farmiga,1800000,842693
One Day,2011,107,7,162383,Lone Scherfig,15000000,59168692
Dolphin Tale,2011,113,6.8,25552,Charles Martin Smith,37000000,96068724
The Girl with the Dragon Tattoo,2011,158,7.8,490483,David Fincher,90000000,239373970
War Horse,2011,146,7.2,164631,Steven Spielberg,70000000,156815529
A Dangerous Method,2011,99,6.4,107850,David Cronenberg,20000000,14807531
The Hit List,2011,90,5.3,12036,William Kaufman,6000000,0
The Dilemma,2011,111,5.3,56674,Ron Howard,70000000,70546865
Larry Crowne,2011,98,6.1,70463,Tom Hanks,30000000,61449135
Machine Gun Preacher,2011,129,6.7,68674,Marc Forster,30000000,3721988
Fast Five,2011,130,7.3,404110,Justin Lin,125000000,629975898
Soul Surfer,2011,112,7,52458,Sean McNamara,18000000,47135489
Contagion,2011,106,6.8,314126,Steven Soderbergh,60000000,137203939
Abduction,2011,106,5.1,83070,John Singleton,35000000,86648359
Albert Nobbs,2011,113,6.7,25449,Rodrigo García,7500000,8539003
Prom,2011,104,5.4,15654,Joe Nussbaum,8000000,10763183
Midnight in Paris,2011,94,7.6,446779,Woody Allen,30000000,162275213
Win Win,2011,106,7.1,55044,Tom McCarthy,5000000,11869063
Margin Call,2011,107,7.1,142598,J.C. Chandor,3400000,20433227
Alvin and the Chipmunks: Chipwrecked,2011,87,4.4,39013,Mike Mitchell,80000000,349088523
J. Edgar,2011,137,6.5,133024,Clint Eastwood,35000000,84606030
Dum Maaro Dum,2011,128,6.2,4175,Rohan Sippy,5200000,11633427
30 Minutes or Less,2011,83,6.1,106190,Ruben Fleischer,28000000,41146935
Final Destination 5,2011,92,5.9,123969,Steven Quale,40000000,155011165
Young Adult,2011,94,6.3,86965,Jason Reitman,12000000,22750356
Blackthorn,2011,102,6.5,10301,Mateo Gil,4500000,1217307
Courageous,2011,130,6.9,21473,Alex Kendrick,2000000,35680886
Friends with Benefits,2011,109,6.5,391260,Will Gluck,35000000,146595891
Johnny English Reborn,2011,101,6.3,139709,Oliver Parker,45000000,164640401
In Time,2011,109,6.7,441286,Andrew Niccol,35000000,165103952
Our Idiot Brother,2011,90,6.4,90312,Jesse Peretz,5000000,25861249
Hobo with a Shotgun,2011,86,6.1,48374,Jason Eisener,3000000,834953
Jumping the Broom,2011,112,5.7,11449,Salim Akil,7000000,38158601
The Art of Getting By,2011,83,6.5,60604,Gavin Wiesen,4000000,1989035
Diary of a Wimpy Kid: Rodrick Rules,2011,100,6.6,36031,David Bowers,18000000,73695194
Super 8,2011,112,7,365819,J.J. Abrams,50000000,257972745
My Week with Marilyn,2011,99,6.9,89306,Simon Curtis,10000000,34240572
The Artist,2011,100,7.9,247593,Michel Hazanavicius,16000000,128100584
Colombiana,2011,108,6.4,106885,Olivier Megaton,40000000,72295262
Trespass,2011,91,5.3,45236,Joel Schumacher,35000000,786532
Take Shelter,2011,121,7.3,106826,Jeff Nichols,4750000,4972016
Circumstance,2011,107,5.9,7965,Maryam Keshavarz,900000,958978
Creature,2011,93,3.6,3077,Fred Andrews,3000000,533235
Carnage,2011,80,7.1,132280,Roman Polanski,25000000,38112154
Justin Bieber: Never Say Never,2011,105,1.7,76422,Jon M. Chu,13000000,99034125
Grave Encounters,2011,92,6.1,63237,"Colin Minihan, Stuart Ortiz, The Vicious Brothers",2000000,2151887
Weekend,2011,97,7.6,32457,Andrew Haigh,190000,1577585
Another Happy Day,2011,119,6,4552,Sam Levinson,4000000,978527
Shame,2011,101,7.2,204861,Steve McQueen,6500000,20412841
I Don't Know How She Does It,2011,89,5,21129,Douglas McGrath,24000000,24474463
Like Crazy,2011,86,6.6,63121,Drake Doremus,250000,3728400
Apollo 18,2011,86,5.2,57649,Gonzalo López-Gallego,5000000,26517819
Paranormal Activity 3,2011,83,5.8,99254,"Ariel Schulman, Henry Joost",5000000,207039844
Kill List,2011,95,6.4,44934,Ben Wheatley,800000,462206
Glee: The 3D Concert Movie,2011,84,5.5,6014,"Kevin Tancharoen, Jennifer Arnold",9000000,17462398
Kevin Hart: Laugh at My Pain,2011,89,7.3,6429,"Leslie Small, Tim Story",750000,7712436
Foodfight!,2012,91,1.3,11764,Lawrence Kasanoff,45000000,120323
On the Road,2012,124,6,43106,Walter Salles,25000000,9313302
The Three Stooges,2012,92,5.1,32981,"Bobby Farrelly, Peter Farrelly",30000000,54052249
John Carter,2012,132,6.6,284420,Andrew Stanton,263700000,282778100
The Possession,2012,92,5.9,62929,Ole Bornedal,14000000,82925064
Lincoln,2012,150,7.3,270811,Steven Spielberg,65000000,273346281
Life of Pi,2012,127,7.9,661323,Ang Lee,120000000,619310368
Red Tails,2012,125,5.9,36992,Anthony Hemingway,58000000,50365498
A Thousand Words,2012,91,5.8,44494,Brian Robbins,40000000,20790486
Jack Reacher,2012,130,7,361882,Christopher McQuarrie,60000000,217370736
Hotel Transylvania,2012,91,7,277581,Genndy Tartakovsky,85000000,378119469
The Avengers,2012,143,8,1449218,Joss Whedon,225000000,1515100211
The Sweeney,2012,112,6.1,20338,Nick Love,4500000,8000366
The Hobbit: An Unexpected Journey,2012,169,7.8,865483,Peter Jackson,200000000,1014938545
The Amazing Spider-Man,2012,136,6.9,695129,Marc Webb,220000000,757890267
Argo,2012,120,7.7,635485,Ben Affleck,44500000,227140757
Silver Linings Playbook,2012,122,7.7,737705,David O. Russell,21000000,236412453
Parental Guidance,2012,105,6,26701,Andy Fickman,25000000,120832383
Skyfall,2012,143,7.8,726128,Sam Mendes,200000000,1110526981
Dark Shadows,2012,113,6.2,278803,Tim Burton,150000000,245564215
Frankenweenie,2012,87,6.9,116181,Tim Burton,39000000,81150788
The Bourne Legacy,2012,135,6.6,313973,Tony Gilroy,125000000,280355920
The Five-Year Engagement,2012,124,6.2,102185,Nicholas Stoller,30000000,61623819
Lawless,2012,116,7.2,252018,John Hillcoat,26000000,54393687
Brave,2012,93,7.1,437658,"Mark Andrews, Brenda Chapman, Steve Purcell",185000000,554606532
21 Jump Street,2012,109,7.2,592943,"Phil Lord, Christopher Miller",42000000,202812429
Red Dawn,2012,93,5.3,80134,Dan Bradley,65000000,48164150
The Man with the Iron Fists,2012,95,5.4,64078,RZA,15000000,22018988
Looper,2012,119,7.4,598828,Rian Johnson,30000000,170466405
Madagascar 3: Europe's Most Wanted,2012,95,6.8,195739,"Eric Darnell, Tom McGrath, Conrad Vernon",145000000,746921271
The Watch,2012,102,5.7,132372,Akiva Schaffer,55000000,67130045
Seeking a Friend for the End of the World,2012,101,6.7,118305,Lorene Scafaria,10000000,11766959
The Lucky One,2012,101,6.4,113159,Scott Hicks,25000000,96633833
Rock of Ages,2012,123,5.9,81309,Adam Shankman,70000000,61031932
Dredd,2012,95,7.1,291744,Pete Travis,45000000,41467606
The Dark Knight Rises,2012,164,8.4,1806759,Christopher Nolan,230000000,1082228107
The Cold Light of Day,2012,93,4.9,39203,Mabrouk El Mechri,20000000,25361206
Cloud Atlas,2012,172,7.4,372633,"Tom Tykwer, Lilly Wachowski, Lana Wachowski",102000000,130673154
Upside Down,2012,109,6.3,73681,Juan Solanas,50000000,26387039
The Company You Keep,2012,125,6.4,34844,Robert Redford,2000000,21087760
Total Recall,2012,118,6.2,264840,Len Wiseman,125000000,211856088
The Hunger Games,2012,142,7.2,993575,Gary Ross,80000000,677923379
Taken 2,2012,92,6.2,320636,Olivier Megaton,45000000,377807404
Journey 2: The Mysterious Island,2012,94,5.7,111213,Brad Peyton,79000000,318146162
Men in Black 3,2012,106,6.8,383707,Barry Sonnenfeld,215000000,654213485
Big Miracle,2012,107,6.5,20423,Ken Kwapis,40000000,25268680
The Pirates! Band of Misfits,2012,88,6.7,51104,"Peter Lord, Jeff Newitt",55000000,136143605
The Apparition,2012,83,4.1,20564,Todd Lincoln,17000000,10637281
Battleship,2012,131,5.8,255929,Peter Berg,220000000,313477717
Quartet,2012,98,6.8,21080,Dustin Hoffman,11000000,56178935
Rise of the Guardians,2012,97,7.2,190867,Peter Ramsey,145000000,306941670
Prometheus,2012,124,7,638893,Ridley Scott,125000000,402448265
The Odd Life of Timothy Green,2012,105,6.6,48386,Peter Hedges,40000000,55249159
The Raven,2012,110,6.4,88054,James McTeigue,26000000,30601801
Underworld: Awakening,2012,88,6.3,160336,"Måns Mårlind, Björn Stein",70000000,160379930
The Paperboy,2012,107,5.7,39334,Lee Daniels,12500000,4027663
Contraband,2012,109,6.4,125902,Baltasar Kormákur,25000000,98406855
Grabbers,2012,94,6.3,19334,Jon Wright,5300000,440821
Hope Springs,2012,100,6.3,44074,David Frankel,30000000,133085295
Playing for Keeps,2012,105,5.7,31166,Gabriele Muccino,35000000,27805632
Vamps,2012,92,5.3,11000,Amy Heckerling,16000000,94812
Premium Rush,2012,91,6.5,118015,David Koepp,35000000,31393201
The Master,2012,138,7.1,184808,Paul Thomas Anderson,37500000,29044338
The Devil Inside,2012,83,4.2,37275,William Brent Bell,1000000,101759490
For Greater Glory: The True Story of Cristiada,2012,145,6.5,5287,Dean Wright,12000000,10026255
Man on a Ledge,2012,102,6.6,157973,Asger Leth,42000000,49621440
House at the End of the Street,2012,101,5.5,80855,Mark Tonderai,6900000,44103982
What to Expect When You're Expecting,2012,110,5.7,75309,Kirk Jones,37500000,88473016
Act of Valor,2012,110,6.4,71481,"Mike McCoy, Scott Waugh",12000000,82497035
Lockout,2012,95,6,100667,"James Mather, Steve Saint Leger",20000000,33943049
LOL,2012,97,4.4,57930,Lisa Azuelos,11000000,10477506
This Means War,2012,103,6.3,193490,McG,65000000,156974557
The Woman in Black,2012,95,6.4,191665,James Watkins,15000000,128955898
One for the Money,2012,91,5.3,43967,Julie Anne Robinson,42000000,39377700
Safe House,2012,115,6.7,233930,Daniel Espinosa,85000000,207884401
Amour,2012,127,7.9,104987,Michael Haneke,9700000,36787044
American Reunion,2012,113,6.7,222759,"Jon Hurwitz, Hayden Schlossberg",50000000,236799211
The Vow,2012,104,6.8,203112,Michael Sucsy,30000000,197618160
The Other Dream Team,2012,89,8.3,3676,Marius A. Markevicius,500000,314444
Abraham Lincoln: Vampire Hunter,2012,105,5.9,160897,Timur Bekmambetov,67500000,137489730
Savages,2012,131,6.4,133902,Oliver Stone,45000000,82513490
Think Like a Man,2012,123,6.5,49898,Tim Story,12000000,113373764
ParaNorman,2012,92,7,109294,"Chris Butler, Sam Fell",60000000,108119662
Chasing Mavericks,2012,116,7.1,34356,"Michael Apted, Curtis Hanson",20000000,8300821
Project X,2012,88,6.7,229964,Nima Nourizadeh,12000000,103028188
Ted,2012,106,6.9,650508,Seth MacFarlane,50000000,556016627
The Dictator,2012,83,6.4,331038,Larry Charles,65000000,180148897
Wrath of the Titans,2012,99,5.7,194685,Jonathan Liebesman,150000000,305270083
Here Comes the Boom,2012,105,6.4,95019,Frank Coraci,42000000,73239258
The Impossible,2012,114,7.5,240990,J.A. Bayona,40000000,169590606
Wanderlust,2012,98,5.6,79693,David Wain,32500000,24159934
Stolen,2012,96,5.5,46241,Simon West,35000000,17967746
Safe,2012,94,6.5,116634,Boaz Yakin,33000000,41495213
The Perks of Being a Wallflower,2012,103,7.9,542786,Stephen Chbosky,13000000,33069303
Fun Size,2012,86,5.4,15095,Josh Schwartz,14000000,11166615
Deadfall,2012,95,6.2,40923,Stefan Ruzowitzky,6000000,1673635
Mirror Mirror,2012,106,5.6,90717,Tarsem Singh,85000000,173613482
Ice Age: Continental Drift,2012,88,6.5,222516,"Steve Martino, Michael Thurmeier",95000000,879765137
The Sapphires,2012,103,7,15097,Wayne Blair,9000000,20395040
Playback,2012,98,4.3,5081,Michael A. Nickles,1500000,54945
The Guilt Trip,2012,95,5.8,38478,Anne Fletcher,40000000,41742317
Casa de mi Padre,2012,85,5.5,21564,Matt Piedmont,6000000,8446952
Chronicle,2012,89,7,262820,Josh Trank,12000000,123681790
Les Misérables,2012,158,7.5,343638,Tom Hooper,65000000,435412594
Joyful Noise,2012,118,5.7,8817,Todd Graff,27500000,31157914
Alex Cross,2012,101,5.2,35271,Rob Cohen,35000000,35426759
People Like Us,2012,114,7,44068,Alex Kurtzman,16000000,12617472
Darling Companion,2012,103,5.2,3809,Lawrence Kasdan,12000000,1200346
Snow White and the Huntsman,2012,127,6.1,300648,Rupert Sanders,170000000,401021746
Moonrise Kingdom,2012,94,7.8,365011,Wes Anderson,16000000,68848446
Red Lights,2012,114,6.2,65152,Rodrigo Cortés,17700000,14518884
The Collection,2012,82,6.1,53582,Marcus Dunstan,10000000,8890094
Blue Like Jazz,2012,108,5.8,3045,Steve Taylor,1200000,595018
The First Time,2012,95,6.8,73351,Jonathan Kasdan,2000000,22836
Arbitrage,2012,107,6.6,54539,Nicholas Jarecki,12000000,35830713
Killing Them Softly,2012,97,6.2,151918,Andrew Dominik,15000000,39238443
The Expendables 2,2012,103,6.6,320631,Simon West,100000000,311979256
The Giant Mechanical Man,2012,95,6.7,10483,Lee Kirk,900000,7396
Wreck-It Ralph,2012,101,7.7,453505,Rich Moore,165000000,496511521
Anna Karenina,2012,129,6.6,105731,Joe Wright,49000000,71004627
Zero Dark Thirty,2012,157,7.4,316619,Kathryn Bigelow,52500000,134612435
The Campaign,2012,85,6.1,136397,Jay Roach,95000000,104907746
Cirque du Soleil: Worlds Away,2012,91,6.7,8212,Andrew Adamson,25000000,34153101
Step Up Revolution,2012,99,6.4,57896,Scott Speer,33000000,165552290
Gone,2012,94,5.9,46169,Heitor Dhalia,19000000,18100189
Truth or Die,2012,96,5.6,10116,Robert Heath,1000000,0
The Words,2012,102,7,81103,"Brian Klugman, Lee Sternthal",6000000,16369708
Django Unchained,2012,165,8.5,1671275,Quentin Tarantino,100000000,449841566
End of Watch,2012,109,7.6,265881,David Ayer,15000000,57586606
Resident Evil: Retribution,2012,95,5.3,149031,Paul W.S. Anderson,65000000,240647629
Tim and Eric's Billion Dollar Movie,2012,93,5.3,10588,"Tim Heidecker, Eric Wareheim",3000000,223652
To Rome with Love,2012,112,6.3,90533,Woody Allen,21500000,74290305
Safety Not Guaranteed,2012,86,6.9,130426,Colin Trevorrow,750000,4422318
The Sessions,2012,95,7.2,43854,Ben Lewin,1000000,11495204
Won't Back Down,2012,121,6.4,6854,Daniel Barnz,19000000,5745503
Sparkle,2012,116,5.7,6636,Salim Akil,10000000,24660323
Girls Gone Dead,2012,104,3.5,2560,"Michael Hoffman Jr., Aaron T. Wells",500000,0
Flight,2012,138,7.3,373599,Robert Zemeckis,31000000,160558438
Magic Mike,2012,110,6.1,146494,Steven Soderbergh,7000000,170549753
Bachelorette,2012,87,5.3,48586,Leslye Headland,3000000,12577401
Sinister,2012,110,6.8,276573,Scott Derrickson,3000000,87727807
Seven Psychopaths,2012,110,7.1,272152,Martin McDonagh,13500000,33035736
Indie Game: The Movie,2012,103,7.6,21394,"Lisanne Pajot, James Swirsky",100000,0
Compliance,2012,90,6.4,37007,Craig Zobel,270000,830700
Pitch Perfect,2012,112,7.1,327935,Jason Moore,17000000,116044347
Robot & Frank,2012,89,7,65606,Jake Schreier,2500000,4934356
Chernobyl Diaries,2012,86,5,68404,Bradley Parker,1000000,42411721
Diary of a Wimpy Kid: Dog Days,2012,94,6.3,29404,David Bowers,22000000,77229695
