primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,Production Budget,Worldwide Gross
The Family Man,2000,125,6.8,118612,Brett Ratner,60000000,124715863
Dracula 2000,2000,99,4.9,36164,Patrick Lussier,28000000,33000377
The Gift,2000,112,6.7,74178,Sam Raimi,10000000,44567606
The Kid,2000,104,6.1,44146,Jon Turteltaub,65000000,69688384
Lucky Numbers,2000,105,5.1,10891,Nora Ephron,65000000,10014234
The Tigger Movie,2000,77,6.3,20201,Jun Falkenstein,20000000,96147688
The Broken Hearts Club: A Romantic Comedy,2000,94,6.9,8130,Greg Berlanti,1000000,2022442
Proof of Life,2000,135,6.3,58708,Taylor Hackford,65000000,62761005
Book of Shadows: Blair Witch 2,2000,90,4,39756,Joe Berlinger,15000000,47721314
Bedazzled,2000,93,6.1,111449,Harold Ramis,48000000,90376224
The Original Kings of Comedy,2000,115,6.8,6049,Spike Lee,3000000,38236338
Chocolat,2000,121,7.3,200412,Lasse Hallström,25000000,152500343
"Dude, Where's My Car?",2000,83,5.5,144968,Danny Leiner,13000000,73180297
Fiza,2000,170,6,4450,Khalid Mohamed,1000000,1179462
Billy Elliot,2000,110,7.7,141573,Stephen Daldry,5000000,109252972
Digimon: The Movie,2000,82,6,7889,"Bob Buchholz, Mamoru Hosoda, Jeff Nimoy, Shigeyasu Yamauchi",5000000,16628751
George Washington,2000,89,7.2,8624,David Gordon Green,42000,342722
Glitter,2001,104,2.4,24010,Vondie Curtis-Hall,8500000,4273372
From Hell,2001,122,6.7,163265,"Albert Hughes, Allen Hughes",35000000,68712365
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9,1982695,Peter Jackson,93000000,891210039
The Shipping News,2001,111,6.7,33818,Lasse Hallström,35000000,24405825
Heartbreakers,2001,123,6.2,57532,David Mirkin,38000000,57753825
Shrek,2001,90,7.9,725420,"Andrew Adamson, Vicky Jenson",50000000,492186434
Driven,2001,116,4.6,42835,Renny Harlin,72000000,54616869
Planet of the Apes,2001,120,5.7,227327,Tim Burton,100000000,362211740
Training Day,2001,122,7.7,467561,Antoine Fuqua,45000000,104505352
Town & Country,2001,104,4.5,5218,Peter Chelsom,105000000,10364769
