primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
Going the Distance,2010,103,6.3,59102,Nanette Burstein,32000000,43603990
Despicable Me,2010,95,7.6,556994,"Pierre Coffin, Chris Renaud",69000000,543464573
The Twilight Saga: Eclipse,2010,124,5,250708,David Slade,68000000,706102828
Never Let Me Go,2010,103,7.1,148420,Mark Romanek,15000000,11173718
Cyrus,2010,91,6.3,36050,"Jay Duplass, Mark Duplass",7000000,10062896
Four Lions,2010,97,7.3,79809,Christopher Morris,3750000,8607693
The Extra Man,2010,108,5.8,5242,"Shari Springer Berman, Robert Pulcini",7000000,492108
Made in Dagenham,2010,113,7.1,15685,Nigel Cole,8000000,15644196
Inception,2010,148,8.8,2392892,Christopher Nolan,160000000,728537960
Grown Ups,2010,102,5.9,258479,Dennis Dugan,75000000,272222420
Gunless,2010,89,6.4,3783,William Phillips,9900000,458054
Cop Out,2010,107,5.5,89069,Kevin Smith,37000000,55909910
The Other Guys,2010,107,6.6,275440,Adam McKay,100000000,170936470
Why Did I Get Married Too?,2010,121,4.7,9963,Tyler Perry,20000000,60831067
Marmaduke,2010,99,4.3,16251,Tom Dey,50000000,89895930
True Grit,2010,110,7.6,345168,"Ethan Coen, Joel Coen",35000000,252276928
Remember Me,2010,113,7.1,150384,Allen Coulter,16000000,56506120
For Colored Girls,2010,134,6.2,7942,Tyler Perry,21000000,38017873
Just Wright,2010,101,5.9,15051,Sanaa Hamri,12000000,21867665
You Again,2010,105,5.7,52995,Andy Fickman,20000000,32838945
Somewhere,2010,97,6.3,45547,Sofia Coppola,7000000,17023121
Stone,2010,105,5.4,42120,John Curran,22000000,4065020
Predators,2010,107,6.4,235701,Nimród Antal,40000000,127234389
Another Year,2010,129,7.4,30120,Mike Leigh,8000000,20005613
Faster,2010,98,6.4,109345,George Tillman Jr.,24000000,35792945
Charlie St. Cloud,2010,100,6.4,63337,Burr Steers,44000000,48478084
The American,2010,105,6.3,99454,Anton Corbijn,20000000,67950723
My Girlfriend's Boyfriend,2010,84,5.8,5908,Daryn Tufts,1400000,0
The Next Three Days,2010,133,7.3,200018,Paul Haggis,30000000,67255916
Letters to God,2010,110,6.1,5089,"David Nixon, Patrick Doughtie",3000000,3237452
Buried,2010,95,7,163797,Rodrigo Cortés,1987650,21270290
MacGruber,2010,90,5.6,46222,Jorma Taccone,10000000,8629895
Monsters,2010,94,6.4,94226,Gareth Edwards,500000,5639730
Saw 3D,2010,90,5.5,101306,Kevin Greutert,17000000,133735284
Paranormal Activity 2,2010,91,5.7,106458,Tod Williams,3000000,177512032
127 Hours,2010,94,7.5,384360,Danny Boyle,18000000,60217171
Country Strong,2010,117,6.3,18539,Shana Feste,15000000,20601987
Skyline,2010,92,4.5,90669,"Colin Strause, Greg Strause",10000000,68264973
Tiny Furniture,2010,98,6.2,14645,Lena Dunham,50000,424149
Housefull,2010,144,5.5,14908,Sajid Khan,10100000,18726300
Inside Job,2010,109,8.2,76774,Charles Ferguson,2000000,7799257
Vampires Suck,2010,82,3.4,49801,"Jason Friedberg, Aaron Seltzer",20000000,81424988
The Virginity Hit,2010,86,4.5,3946,"Huck Botko, Andrew Gurland",2000000,636706
The Rum Diary,2011,119,6.1,106289,Bruce Robinson,45000000,21544732
Real Steel,2011,127,7,337678,Shawn Levy,110000000,263880341
Puss in Boots,2011,90,6.6,178253,Chris Miller,130000000,554987477
Captain America: The First Avenger,2011,124,6.9,858606,Joe Johnston,140000000,370569776
Margaret,2011,150,6.5,17766,Kenneth Lonergan,14000000,623292
Tower Heist,2011,104,6.2,147115,Brett Ratner,85000000,150422946
The Smurfs,2011,103,5.4,92634,Raja Gosnell,110000000,563749323
The Mechanic,2011,93,6.5,164048,Simon West,42500000,76347393
The Tree of Life,2011,139,6.8,179727,Terrence Malick,35000000,61721826
Season of the Witch,2011,95,5.4,95700,Dominic Sena,40000000,91126600
Hall Pass,2011,105,5.9,127864,"Bobby Farrelly, Peter Farrelly",68000000,87173475
Something Borrowed,2011,112,5.8,63530,Luke Greenfield,35000000,65084116
What's Your Number?,2011,106,6,82751,Mark Mylod,20000000,30163785
Drive,2011,100,7.8,657645,Nicolas Winding Refn,15000000,81357930
Thor,2011,115,7,862380,Kenneth Branagh,150000000,449326618
Jack and Jill,2011,91,3.3,86681,Dennis Dugan,79000000,150519217
Take Me Home Tonight,2011,114,6.3,54076,Michael Dowse,19000000,7576604
Conan the Barbarian,2011,113,5.1,100456,Marcus Nispel,90000000,63356133
Priest,2011,87,5.7,121466,Scott Stewart,60000000,84154026
Red State,2011,88,6.1,65554,Kevin Smith,4000000,1983596
Sanctum,2011,108,5.9,56275,Alister Grierson,30000000,108957098
The Thing,2011,103,6.2,136869,Matthijs van Heijningen Jr.,38000000,27573078
Source Code,2011,93,7.5,528638,Duncan Jones,32000000,140428499
Hugo,2011,126,7.5,327536,Martin Scorsese,180000000,180047784
Sucker Punch,2011,110,6,245911,Zack Snyder,75000000,89758389
The Adventures of Tintin,2011,107,7.3,235352,Steven Spielberg,130000000,373993951
The Green Hornet,2011,119,5.8,162157,Michel Gondry,110000000,229155503
Hanna,2011,111,6.8,201703,Joe Wright,30000000,65343694
Straw Dogs,2011,110,5.8,35009,Rod Lurie,25000000,11253821
The Descendants,2011,115,7.3,244735,Alexander Payne,20000000,175507800
The Eagle,2011,114,6.2,71724,Kevin Macdonald,25000000,38993548
The Big Year,2011,102,6.2,46337,David Frankel,41000000,7684524
Water for Elephants,2011,122,6.9,117999,Francis Lawrence,38000000,116809717
Monte Carlo,2011,109,5.8,46210,Thomas Bezucha,20000000,39686769
Footloose,2011,113,5.8,51244,Craig Brewer,24000000,62989834
Paul,2011,104,6.9,257621,Greg Mottola,40000000,101162106
The Darkest Hour,2011,89,4.9,62093,Chris Gorak,34800000,64626786
The Ides of March,2011,101,7.1,225498,George Clooney,23000000,77735925
Green Lantern,2011,114,5.5,288910,Martin Campbell,200000000,219535492
Beastly,2011,86,5.5,78542,Daniel Barnz,17000000,38028230
The Rite,2011,114,6,99903,Mikael Håfström,37000000,97143987
The Lincoln Lawyer,2011,118,7.3,243189,Brad Furman,40000000,87145086
Rango,2011,107,7.2,275129,Gore Verbinski,135000000,245724600
The Muppets,2011,120,7.1,94231,James Bobin,45000000,160971922
Moneyball,2011,133,7.6,434473,Bennett Miller,50000000,111300835
Cars 2,2011,106,6.2,198315,"John Lasseter, Bradford Lewis",200000000,560155383
Limitless,2011,105,7.4,585095,Neil Burger,27000000,155564919
Zookeeper,2011,102,5.2,62776,Frank Coraci,80000000,170805525
Ironclad,2011,121,6.1,42749,Jonathan English,25000000,5297411
The Future,2011,91,6.1,8927,Miranda July,1000000,1239174
Your Highness,2011,102,5.5,102463,David Gordon Green,50000000,26121638
Salvation Boulevard,2011,96,5.3,4712,George Ratliff,5500000,28468
Immortals,2011,110,6,171348,Tarsem Singh,75000000,211562435
Scream 4,2011,111,6.2,158400,Wes Craven,40000000,95989590
The Roommate,2011,94,4.8,39954,Christian E. Christiansen,16000000,52545707
The Devil's Double,2011,109,7.1,62795,Lee Tamahori,19100000,5965646
X-Men: First Class,2011,131,7.7,701513,Matthew Vaughn,160000000,355408305
Bad Teacher,2011,92,5.6,206388,Jake Kasdan,19000000,215448997
Warrior,2011,140,8.2,479424,Gavin O'Connor,25000000,24215385
Pirates of the Caribbean: On Stranger Tides,2011,137,6.6,537909,Rob Marshall,379000000,1045713802
Kung Fu Panda 2,2011,90,7.2,295385,Jennifer Yuh Nelson,150000000,664837547
Mars Needs Moms,2011,88,5.4,23098,Simon Wells,150000000,39549758
50/50,2011,100,7.6,334912,Jonathan Levine,8000000,41334735
There Be Dragons,2011,122,5.7,4933,Roland Joffé,36000000,4020990
Rise of the Planet of the Apes,2011,105,7.6,537090,Rupert Wyatt,93000000,470986200
The Beaver,2011,91,6.6,49749,Jodie Foster,21000000,5046038
Arthur,2011,110,5.7,52330,Jason Winer,40000000,47787943
Tinker Tailor Soldier Spy,2011,127,7,205586,Tomas Alfredson,21000000,81428388
The Sitter,2011,81,5.6,71542,David Gordon Green,25000000,38749404
The Adjustment Bureau,2011,106,7,261665,George Nolfi,50200000,126931325
We Bought a Zoo,2011,124,7.1,146442,Cameron Crowe,50000000,118729073
Transformers: Dark of the Moon,2011,154,6.2,415667,Michael Bay,195000000,1123794079
Unknown,2011,113,6.8,264575,Jaume Collet-Serra,40000000,136123083
Happy Feet Two,2011,117,5.8,45982,"George Miller, Gary Eck, David Peers",135000000,157956462
No Strings Attached,2011,108,6.2,235340,Ivan Reitman,25000000,149228078
Bucky Larson: Born to Be a Star,2011,97,3.3,12306,Tom Brady,10000000,2529395
The Hangover Part II,2011,102,6.5,510453,Todd Phillips,80000000,586764305
Hop,2011,95,5.4,35316,Tim Hill,63000000,188494082
Kill the Irishman,2011,106,7,49557,Jonathan Hensleigh,12000000,1188194
A Lonely Place to Die,2011,99,6.2,29900,Julian Gilbey,4000000,442550
Arthur Christmas,2011,97,7.1,62870,"Sarah Smith, Barry Cook",85000000,147865565
Rio,2011,96,6.9,234667,Carlos Saldanha,90000000,487519809
Fright Night,2011,106,6.4,109207,Craig Gillespie,30000000,40520649
Martha Marcy May Marlene,2011,102,6.8,54212,Sean Durkin,1000000,5438911
Killer Elite,2011,116,6.4,132455,Gary McKendry,70000000,65409046
Winnie the Pooh,2011,63,7.1,26442,"Stephen J. Anderson, Don Hall",30000000,50145607
The Help,2011,146,8.1,468701,Tate Taylor,25000000,213120004
Dream House,2011,92,6,67747,Jim Sheridan,50000000,41642166
"Big Mommas: Like Father, Like Son",2011,107,4.4,28308,John Whitesell,32000000,82332450
Cedar Rapids,2011,87,6.3,38909,Miguel Arteta,10000000,7862131
Bridesmaids,2011,125,6.8,297421,Paul Feig,32500000,289632023
Attack the Block,2011,88,6.6,108518,Joe Cornish,13000000,6459183
Red Riding Hood,2011,100,5.4,113655,Catherine Hardwicke,42000000,91678442
5 Days of War,2011,113,5.6,14072,Renny Harlin,12000000,87793
The Change-Up,2011,112,6.3,187903,David Dobkin,52000000,75997067
Restless,2011,91,6.7,18087,Gus Van Sant,8000000,2772511
Horrible Bosses,2011,98,6.9,455821,Seth Gordon,35000000,212417601
Drive Angry,2011,104,5.4,100980,Patrick Lussier,50000000,41042583
Le Havre,2011,93,7.2,22258,Aki Kaurismäki,5500000,13480196
The Three Musketeers,2011,110,5.7,109400,Paul W.S. Anderson,90000000,139877913
Sherlock Holmes: A Game of Shadows,2011,129,7.4,463394,Guy Ritchie,125000000,535663443
Anonymous,2011,130,6.8,41444,Roland Emmerich,27500000,15815509
Melancholia,2011,135,7.1,187057,Lars von Trier,9400000,21817298
The Son of No One,2011,90,5.1,17443,Dito Montiel,15000000,1148578
The Guard,2011,96,7.3,91525,John Michael McDonagh,6000000,21197454
Snow Flower and the Secret Fan,2011,104,6.1,3868,Wayne Wang,6000000,11348205
Another Earth,2011,92,6.9,97321,Mike Cahill,175000,2102779
A Better Life,2011,98,7.2,16193,Chris Weitz,10000000,1884251
Higher Ground,2011,109,6.2,3193,Vera Farmiga,1800000,842693
One Day,2011,107,7,157051,Lone Scherfig,15000000,59168692
Dolphin Tale,2011,113,6.8,24895,Charles Martin Smith,37000000,96068724
The Girl with the Dragon Tattoo,2011,158,7.8,471564,David Fincher,90000000,239373970
War Horse,2011,146,7.2,160623,Steven Spielberg,70000000,156815529
A Dangerous Method,2011,99,6.4,105520,David Cronenberg,20000000,14807531
The Hit List,2011,90,5.3,11906,William Kaufman,6000000,0
The Dilemma,2011,111,5.3,55258,Ron Howard,70000000,70546865
Larry Crowne,2011,98,6.1,68883,Tom Hanks,30000000,61449135
Machine Gun Preacher,2011,129,6.7,67312,Marc Forster,30000000,3721988
Fast Five,2011,130,7.3,387962,Justin Lin,125000000,630163454
Soul Surfer,2011,112,7,50840,Sean McNamara,18000000,47135489
Contagion,2011,106,6.8,307898,Steven Soderbergh,60000000,137551591
Abduction,2011,106,5.1,81638,John Singleton,35000000,86648359
Albert Nobbs,2011,113,6.7,25039,Rodrigo García,7500000,8539003
Prom,2011,104,5.4,15481,Joe Nussbaum,8000000,10763183
Midnight in Paris,2011,94,7.7,432240,Woody Allen,30000000,162275213
Win Win,2011,106,7.1,54425,Tom McCarthy,5000000,11869063
Margin Call,2011,107,7.1,136864,J.C. Chandor,3400000,20433227
Alvin and the Chipmunks: Chipwrecked,2011,87,4.3,36933,Mike Mitchell,80000000,349088523
J. Edgar,2011,137,6.5,130466,Clint Eastwood,35000000,84606030
Dum Maaro Dum,2011,128,6.2,4121,Rohan Sippy,5200000,11633427
30 Minutes or Less,2011,83,6.1,103610,Ruben Fleischer,28000000,41146935
Final Destination 5,2011,92,5.9,119529,Steven Quale,40000000,155011165
Young Adult,2011,94,6.3,85585,Jason Reitman,12000000,22750356
Blackthorn,2011,102,6.5,10062,Mateo Gil,4500000,1217307
Courageous,2011,130,6.8,21031,Alex Kendrick,2000000,35680886
Friends with Benefits,2011,109,6.5,377300,Will Gluck,35000000,146595891
Johnny English Reborn,2011,101,6.3,134483,Oliver Parker,45000000,164640401
In Time,2011,109,6.7,420012,Andrew Niccol,35000000,165103952
Our Idiot Brother,2011,90,6.4,89168,Jesse Peretz,5000000,25861249
Hobo with a Shotgun,2011,86,6.1,47270,Jason Eisener,3000000,834953
Jumping the Broom,2011,112,5.7,11132,Salim Akil,7000000,38158601
The Art of Getting By,2011,83,6.5,59745,Gavin Wiesen,4000000,1989035
Diary of a Wimpy Kid: Rodrick Rules,2011,100,6.5,33257,David Bowers,18000000,73695194
Super 8,2011,112,7,358348,J.J. Abrams,50000000,257972745
My Week with Marilyn,2011,99,6.9,88201,Simon Curtis,10000000,34240572
The Artist,2011,100,7.9,244171,Michel Hazanavicius,16000000,128100584
Colombiana,2011,108,6.4,103560,Olivier Megaton,40000000,72295262
Trespass,2011,91,5.3,44198,Joel Schumacher,35000000,786532
Take Shelter,2011,121,7.3,103171,Jeff Nichols,4750000,4972016
Circumstance,2011,107,5.9,7787,Maryam Keshavarz,900000,958978
Creature,2011,93,3.6,3030,Fred Andrews,3000000,533235
Carnage,2011,80,7.1,129111,Roman Polanski,25000000,38112154
Justin Bieber: Never Say Never,2011,105,1.6,76336,Jon M. Chu,13000000,99034125
Grave Encounters,2011,92,6.1,60170,"Colin Minihan, Stuart Ortiz, The Vicious Brothers",2000000,2151887
Weekend,2011,97,7.6,31184,Andrew Haigh,190000,1577585
Another Happy Day,2011,119,6,4414,Sam Levinson,4000000,978527
Shame,2011,101,7.2,199598,Steve McQueen,6500000,20412841
I Don't Know How She Does It,2011,89,4.9,20764,Douglas McGrath,24000000,24474463
Like Crazy,2011,86,6.6,62322,Drake Doremus,250000,3728400
Apollo 18,2011,86,5.2,56476,Gonzalo López-Gallego,5000000,26517819
Paranormal Activity 3,2011,83,5.8,96927,"Henry Joost, Ariel Schulman",5000000,207039844
Kill List,2011,95,6.4,42432,Ben Wheatley,800000,462206
Glee: The 3D Concert Movie,2011,84,5.5,5945,"Jennifer Arnold, Kevin Tancharoen",9000000,17462398
Kevin Hart: Laugh at My Pain,2011,89,7.3,6254,"Leslie Small, Tim Story",750000,7712436
Foodfight!,2012,91,1.3,11307,Lawrence Kasanoff,45000000,120323
On the Road,2012,124,6,42466,Walter Salles,25000000,9313302
The Three Stooges,2012,92,5.1,32250,"Bobby Farrelly, Peter Farrelly",30000000,54052249
John Carter,2012,132,6.6,277516,Andrew Stanton,263700000,282778100
The Possession,2012,92,5.9,61337,Ole Bornedal,14000000,82925064
Lincoln,2012,150,7.3,264481,Steven Spielberg,65000000,273346281
Life of Pi,2012,127,7.9,641581,Ang Lee,120000000,619310368
Red Tails,2012,125,5.9,36220,Anthony Hemingway,58000000,50365498
A Thousand Words,2012,91,5.8,43570,Brian Robbins,40000000,20790486
Jack Reacher,2012,130,7,347929,Christopher McQuarrie,60000000,217370736
Hotel Transylvania,2012,91,7,263088,Genndy Tartakovsky,85000000,378119469
The Avengers,2012,143,8,1407678,Joss Whedon,225000000,1515100211
The Sweeney,2012,112,6.1,20023,Nick Love,4500000,8000366
The Hobbit: An Unexpected Journey,2012,169,7.8,839896,Peter Jackson,200000000,1014938545
The Amazing Spider-Man,2012,136,6.9,667479,Marc Webb,220000000,757890267
Argo,2012,120,7.7,622088,Ben Affleck,44500000,227140757
Silver Linings Playbook,2012,122,7.7,718496,David O. Russell,21000000,236412453
Parental Guidance,2012,105,6,26281,Andy Fickman,25000000,120832383
Skyfall,2012,143,7.8,706494,Sam Mendes,200000000,1110526981
Dark Shadows,2012,113,6.2,271926,Tim Burton,150000000,245564215
Frankenweenie,2012,87,6.9,111187,Tim Burton,39000000,81150788
The Bourne Legacy,2012,135,6.6,306736,Tony Gilroy,125000000,280355920
The Five-Year Engagement,2012,124,6.2,100145,Nicholas Stoller,30000000,61623819
Lawless,2012,116,7.2,246053,John Hillcoat,26000000,54393687
Brave,2012,93,7.1,420625,"Mark Andrews, Brenda Chapman, Steve Purcell",185000000,554606532
21 Jump Street,2012,109,7.2,570535,"Phil Lord, Christopher Miller",42000000,202812429
Red Dawn,2012,93,5.3,78537,Dan Bradley,65000000,48164150
The Man with the Iron Fists,2012,95,5.4,63387,RZA,15000000,22018988
Looper,2012,119,7.4,584514,Rian Johnson,30000000,170466405
Madagascar 3: Europe's Most Wanted,2012,95,6.8,187159,"Eric Darnell, Tom McGrath, Conrad Vernon",145000000,746921271
The Watch,2012,102,5.7,129946,Akiva Schaffer,55000000,67130045
Seeking a Friend for the End of the World,2012,101,6.7,116389,Lorene Scafaria,10000000,11766959
The Lucky One,2012,101,6.4,110646,Scott Hicks,25000000,96633833
Rock of Ages,2012,123,5.9,79709,Adam Shankman,70000000,61031932
Dredd,2012,95,7.1,280724,Pete Travis,45000000,41467606
The Dark Knight Rises,2012,164,8.4,1729426,Christopher Nolan,230000000,1082228107
The Cold Light of Day,2012,93,4.9,38251,Mabrouk El Mechri,20000000,25361206
Cloud Atlas,2012,172,7.4,366280,"Lilly Wachowski, Tom Tykwer, Lana Wachowski",102000000,130673154
Upside Down,2012,109,6.3,72755,Juan Solanas,50000000,26387039
The Company You Keep,2012,125,6.4,34151,Robert Redford,2000000,21087760
Total Recall,2012,118,6.2,258631,Len Wiseman,125000000,211856088
The Hunger Games,2012,142,7.2,938138,Gary Ross,80000000,677923379
Taken 2,2012,92,6.2,312268,Olivier Megaton,45000000,377807404
Journey 2: The Mysterious Island,2012,94,5.7,107173,Brad Peyton,79000000,318146162
Men in Black 3,2012,106,6.8,370511,Barry Sonnenfeld,215000000,654213485
Big Miracle,2012,107,6.5,20053,Ken Kwapis,40000000,25268680
The Pirates! Band of Misfits,2012,88,6.7,49676,"Peter Lord, Jeff Newitt",55000000,136143605
The Apparition,2012,83,4.1,20237,Todd Lincoln,17000000,10637281
Battleship,2012,131,5.8,251204,Peter Berg,220000000,313477717
Quartet,2012,98,6.8,20637,Dustin Hoffman,11000000,56178935
Rise of the Guardians,2012,97,7.2,181663,Peter Ramsey,145000000,306941670
Prometheus,2012,124,7,618544,Ridley Scott,125000000,402448265
The Odd Life of Timothy Green,2012,105,6.6,47560,Peter Hedges,40000000,55249159
The Raven,2012,110,6.4,86692,James McTeigue,26000000,30601801
Underworld: Awakening,2012,88,6.3,157155,"Måns Mårlind, Björn Stein",70000000,160379930
The Paperboy,2012,107,5.7,38374,Lee Daniels,12500000,4027663
Contraband,2012,109,6.4,124337,Baltasar Kormákur,25000000,98406855
Grabbers,2012,94,6.3,18843,Jon Wright,5300000,440821
Hope Springs,2012,100,6.3,43217,David Frankel,30000000,133085295
Playing for Keeps,2012,105,5.7,30672,Gabriele Muccino,35000000,27805632
Vamps,2012,92,5.2,10475,Amy Heckerling,16000000,94812
Premium Rush,2012,91,6.5,115868,David Koepp,35000000,31393201
The Master,2012,138,7.1,178602,Paul Thomas Anderson,37500000,29044338
The Devil Inside,2012,83,4.2,36536,William Brent Bell,1000000,101759490
For Greater Glory: The True Story of Cristiada,2012,145,6.5,5126,Dean Wright,12000000,10026255
Man on a Ledge,2012,102,6.6,154957,Asger Leth,42000000,49621440
House at the End of the Street,2012,101,5.5,78336,Mark Tonderai,6900000,44103982
What to Expect When You're Expecting,2012,110,5.7,74169,Kirk Jones,37500000,88473016
Act of Valor,2012,110,6.4,70140,"Mike McCoy, Scott Waugh",12000000,82497035
Lockout,2012,95,6,99541,"James Mather, Steve Saint Leger",20000000,33943049
LOL,2012,97,4.3,56975,Lisa Azuelos,11000000,10477506
This Means War,2012,103,6.3,189697,McG,65000000,156974557
The Woman in Black,2012,95,6.4,187025,James Watkins,15000000,128955898
One for the Money,2012,91,5.3,43187,Julie Anne Robinson,42000000,36197221
Safe House,2012,115,6.7,226863,Daniel Espinosa,85000000,207884401
Amour,2012,127,7.9,102404,Michael Haneke,9700000,36787044
American Reunion,2012,113,6.7,217886,"Jon Hurwitz, Hayden Schlossberg",50000000,236799211
The Vow,2012,104,6.8,198082,Michael Sucsy,30000000,197618160
The Other Dream Team,2012,89,8.3,3635,Marius A. Markevicius,500000,314444
Abraham Lincoln: Vampire Hunter,2012,105,5.9,158046,Timur Bekmambetov,67500000,137489730
Savages,2012,131,6.4,131946,Oliver Stone,45000000,82513490
Think Like a Man,2012,123,6.5,48621,Tim Story,12000000,113373764
ParaNorman,2012,92,7,105258,"Sam Fell, Chris Butler",60000000,108119662
Chasing Mavericks,2012,116,7.1,33515,"Michael Apted, Curtis Hanson",20000000,8300821
Project X,2012,88,6.6,217500,Nima Nourizadeh,12000000,103028188
Ted,2012,106,6.9,625668,Seth MacFarlane,50000000,556016627
The Dictator,2012,83,6.4,316247,Larry Charles,65000000,180148897
Wrath of the Titans,2012,99,5.7,191644,Jonathan Liebesman,150000000,305270083
Here Comes the Boom,2012,105,6.4,93143,Frank Coraci,42000000,73239258
The Impossible,2012,114,7.5,229317,J.A. Bayona,40000000,169590606
Wanderlust,2012,98,5.6,78550,David Wain,32500000,24159934
Stolen,2012,96,5.5,45612,Simon West,35000000,17967746
Safe,2012,94,6.5,112911,Boaz Yakin,33000000,41495213
The Perks of Being a Wallflower,2012,103,7.9,522791,Stephen Chbosky,13000000,33069303
Fun Size,2012,86,5.4,14811,Josh Schwartz,14000000,11166615
Deadfall,2012,95,6.2,39978,Stefan Ruzowitzky,6000000,1673635
Mirror Mirror,2012,106,5.6,89015,Tarsem Singh,85000000,173613482
Ice Age: Continental Drift,2012,88,6.5,214474,"Steve Martino, Michael Thurmeier",95000000,879765137
The Sapphires,2012,103,7,14739,Wayne Blair,9000000,20395040
Playback,2012,98,4.2,5011,Michael A. Nickles,1500000,54945
The Guilt Trip,2012,95,5.8,37947,Anne Fletcher,40000000,41294674
Casa de mi Padre,2012,85,5.5,21289,Matt Piedmont,6000000,8446952
Chronicle,2012,89,7,255642,Josh Trank,12000000,123681790
Les Misérables,2012,158,7.5,334936,Tom Hooper,65000000,438420442
Joyful Noise,2012,118,5.7,8648,Todd Graff,27500000,31157914
Alex Cross,2012,101,5.1,34686,Rob Cohen,35000000,35426759
People Like Us,2012,114,7,43588,Alex Kurtzman,16000000,12617472
Darling Companion,2012,103,5.1,3584,Lawrence Kasdan,12000000,1200346
Snow White and the Huntsman,2012,127,6.1,293935,Rupert Sanders,170000000,401021746
Moonrise Kingdom,2012,94,7.8,355226,Wes Anderson,16000000,68848446
Red Lights,2012,114,6.2,63118,Rodrigo Cortés,17700000,14518884
The Collection,2012,82,6.1,51419,Marcus Dunstan,10000000,8890094
Blue Like Jazz,2012,108,5.8,3023,Steve Taylor,1200000,595018
The First Time,2012,95,6.8,72032,Jonathan Kasdan,2000000,22836
Arbitrage,2012,107,6.6,53517,Nicholas Jarecki,12000000,35830713
Killing Them Softly,2012,97,6.2,147726,Andrew Dominik,15000000,39238443
The Expendables 2,2012,103,6.6,311905,Simon West,100000000,311979256
The Giant Mechanical Man,2012,95,6.7,10292,Lee Kirk,900000,7396
Wreck-It Ralph,2012,101,7.7,432606,Rich Moore,165000000,496511521
Anna Karenina,2012,129,6.6,102627,Joe Wright,49000000,71004627
Zero Dark Thirty,2012,157,7.4,307318,Kathryn Bigelow,52500000,134612435
The Campaign,2012,85,6.1,133727,Jay Roach,95000000,104907746
Cirque du Soleil: Worlds Away,2012,91,6.7,8131,Andrew Adamson,25000000,34153101
Step Up Revolution,2012,99,6.4,57037,Scott Speer,33000000,165552290
Gone,2012,94,5.9,45109,Heitor Dhalia,19000000,18100189
Truth or Die,2012,96,5.6,9746,Robert Heath,1000000,0
The Words,2012,102,7,79548,"Brian Klugman, Lee Sternthal",6000000,16369708
Django Unchained,2012,165,8.4,1585064,Quentin Tarantino,100000000,449841566
End of Watch,2012,109,7.6,254956,David Ayer,15000000,57586606
Resident Evil: Retribution,2012,95,5.3,145368,Paul W.S. Anderson,65000000,240647629
Tim and Eric's Billion Dollar Movie,2012,93,5.3,10367,"Tim Heidecker, Eric Wareheim",3000000,223652
To Rome with Love,2012,112,6.3,89079,Woody Allen,21500000,74290305
Safety Not Guaranteed,2012,86,6.9,127466,Colin Trevorrow,750000,4422318
The Sessions,2012,95,7.2,43290,Ben Lewin,1000000,11495204
Won't Back Down,2012,121,6.4,6730,Daniel Barnz,19000000,5745503
Sparkle,2012,116,5.7,6509,Salim Akil,10000000,24660323
Girls Gone Dead,2012,104,3.5,2489,"Michael Hoffman Jr., Aaron T. Wells",500000,0
Flight,2012,138,7.3,361109,Robert Zemeckis,31000000,160558438
Magic Mike,2012,110,6.1,143236,Steven Soderbergh,7000000,170549753
Bachelorette,2012,87,5.3,47788,Leslye Headland,3000000,12577401
Sinister,2012,110,6.8,260814,Scott Derrickson,3000000,87727807
Seven Psychopaths,2012,110,7.1,264500,Martin McDonagh,13500000,33035736
Indie Game: The Movie,2012,103,7.6,21220,"Lisanne Pajot, James Swirsky",100000,0
Compliance,2012,90,6.4,35776,Craig Zobel,270000,830700
Pitch Perfect,2012,112,7.1,313005,Jason Moore,17000000,116044347
Robot & Frank,2012,89,7,64784,Jake Schreier,2500000,4934356
Chernobyl Diaries,2012,86,5,67130,Bradley Parker,1000000,42411721
Diary of a Wimpy Kid: Dog Days,2012,94,6.3,27324,David Bowers,22000000,77229695
Shanghai,2012,120,7.3,10317,Dibakar Banerjee,50000000,15505922
Holy Motors,2012,115,7,47328,Leos Carax,4000000,4230426
Trouble with the Curve,2012,111,6.8,65711,Robert Lorenz,60000000,47818913
Paranormal Activity 4,2012,88,4.6,67997,"Henry Joost, Ariel Schulman",5000000,142817992
Beasts of the Southern Wild,2012,93,7.2,83991,Benh Zeitlin,1800000,23265132
Stitches,2012,86,5.7,10066,Conor McMahon,2000000,63555
Khiladi 786,2012,141,4.3,7426,Ashish R. Mohan,5600000,14683763
Jab Tak Hai Jaan,2012,198,6.7,56632,Yash Chopra,9200000,5806666
The Secret Life of Walter Mitty,2013,114,7.3,324582,Ben Stiller,91000000,187861183
42,2013,128,7.5,97823,Brian Helgeland,31000000,97470701
The Croods,2013,98,7.2,220717,"Kirk DeMicco, Chris Sanders",135000000,573068425
Man of Steel,2013,143,7.1,782016,Zack Snyder,225000000,667999518
The Incredible Burt Wonderstone,2013,100,5.9,74693,Don Scardino,32000000,27392609
Dallas Buyers Club,2013,117,7.9,497453,Jean-Marc Vallée,5000000,60611845
R.I.P.D.,2013,96,5.6,138632,Robert Schwentke,130000000,79076678
Scary Movie V,2013,88,3.5,73773,"Malcolm D. Lee, David Zucker",20000000,78613981
The Book Thief,2013,131,7.5,138200,Brian Percival,19000000,76086711
World War Z,2013,116,7,682629,Marc Forster,190000000,531861650
Epic,2013,102,6.6,107092,Chris Wedge,100000000,262794441
Snitch,2013,112,6.4,90061,Ric Roman Waugh,15000000,57907734
