primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
Final Fantasy: The Spirits Within,2001,106,6.4,82846,"Hironobu Sakaguchi, Motonori Sakakibara",137000000,85131830
15 Minutes,2001,120,6.1,51024,John Herzfeld,42000000,56331864
Hardball,2001,106,6.4,32222,Brian Robbins,21000000,43728560
Osmosis Jones,2001,95,6.3,37126,"Bobby Farrelly, Peter Farrelly",70000000,13596911
The Caveman's Valentine,2001,105,5.8,7995,Kasi Lemmons,13500000,892506
Just Visiting,2001,88,5.7,19641,Jean-Marie Poiré,40000000,16172200
Get Over It,2001,87,5.7,19432,Tommy O'Haver,10000000,19860259
Head Over Heels,2001,86,5.4,14855,Mark Waters,14000000,10397365
Texas Rangers,2001,90,5.2,6146,Steve Miner,38000000,623374
Zoolander,2001,90,6.5,279411,Ben Stiller,28000000,60780981
"Monsters, Inc.",2001,92,8.1,924840,"Pete Docter, David Silverman, Lee Unkrich",115000000,560483719
Riding in Cars with Boys,2001,132,6.5,29663,Penny Marshall,47000000,29781453
Rock Star,2001,105,6.3,44116,Stephen Herek,38000000,19317765
Save the Last Dance,2001,112,6.2,63817,Thomas Carter,13000000,122244329
Joy Ride,2001,97,6.6,71894,John Dahl,23000000,22204890
The Mummy Returns,2001,130,6.4,333008,Stephen Sommers,98000000,435040395
The Wedding Planner,2001,103,5.3,83022,Adam Shankman,28000000,94728529
Hannibal,2001,131,6.8,281132,Ridley Scott,87000000,350100280
Pearl Harbor,2001,183,6.2,338898,Michael Bay,151500000,449239853
Enemy at the Gates,2001,131,7.5,267475,Jean-Jacques Annaud,85000000,96971293
Soul Survivors,2001,84,3.9,9236,Stephen Carpenter,14000000,4288246
Antitrust,2001,108,6.1,29752,Peter Howitt,30000000,17865209
Original Sin,2001,116,6,57830,Michael Cristofer,26000000,16521410
Bandits,2001,123,6.5,69338,Barry Levinson,75000000,71523271
Blow,2001,124,7.5,265523,Ted Demme,30000000,83282296
The Glass House,2001,106,5.8,38505,Daniel Sackheim,22000000,22861785
Angel Eyes,2001,102,5.7,24909,Luis Mandoki,38000000,29544532
Made,2001,95,6.3,18902,Jon Favreau,5000000,5476060
The Score,2001,124,6.8,130349,Frank Oz,68000000,113542091
Spy Kids,2001,88,5.6,120906,Robert Rodriguez,35000000,197692062
Atlantis: The Lost Empire,2001,95,6.9,124774,"Kirk Wise, Gary Trousdale",90000000,186049020
The Others,2001,101,7.6,374196,Alejandro Amenábar,17000000,207765056
Sweet November,2001,119,6.7,92006,Pat O'Connor,40000000,65754228
Crocodile Dundee in Los Angeles,2001,95,4.8,25480,Simon Wincer,25000000,39393111
Down to Earth,2001,87,5.4,24275,"Chris Weitz, Paul Weitz",30000000,71172251
The Fast and the Furious,2001,106,6.8,393739,Rob Cohen,38000000,206458372
3000 Miles to Graceland,2001,125,5.9,47607,Demian Lichtenstein,62000000,18708848
Novocaine,2001,95,5.8,11395,David Atkins,6000000,2522928
Summer Catch,2001,104,5,16273,Michael Tollin,17000000,19693891
Josie and the Pussycats,2001,98,5.5,23816,"Harry Elfont, Deborah Kaplan",22000000,14307223
The Mexican,2001,123,6.1,110230,Gore Verbinski,40000000,145238250
The Tailor of Panama,2001,109,6.1,30225,John Boorman,18000000,27491653
The Pledge,2001,124,6.8,62169,Sean Penn,45000000,29406132
Captain Corelli's Mandolin,2001,131,5.9,35013,John Madden,57000000,62097495
Double Take,2001,88,5.4,8599,George Gallo,24000000,29823162
Cats & Dogs,2001,87,5.1,60795,Lawrence Guterman,60000000,200700000
Saving Silverman,2001,90,5.8,41280,Dennis Dugan,22000000,25873142
Say It Isn't So,2001,95,5,13489,J.B. Rogers,25000000,5516708
Sidewalks of New York,2001,108,6.4,6813,Edward Burns,1000000,3575308
Dr. Dolittle 2,2001,87,4.7,46068,Steve Carr,72000000,176101721
Freddy Got Fingered,2001,87,4.6,49611,Tom Green,15000000,14249005
Ocean's Eleven,2001,116,7.7,586851,Steven Soderbergh,85000000,450728529
Serendipity,2001,90,6.8,116272,Peter Chelsom,28000000,77477297
Bully,2001,108,6.9,39210,Larry Clark,2100000,1381824
Exit Wounds,2001,101,5.6,36069,Andrzej Bartkowiak,33000000,79958599
L.I.E.,2001,97,7.1,10210,Michael Cuesta,700000,1140965
Valentine,2001,96,4.9,29151,Jamie Blanks,10000000,20384136
Bridget Jones's Diary,2001,97,6.8,249896,Sharon Maguire,25000000,277902373
American Outlaws,2001,94,5.9,16865,Les Mayfield,35000000,13601109
Swordfish,2001,99,6.5,190685,Dominic Sena,80000000,147080413
Someone Like You,2001,97,6,26862,Tony Goldwyn,23000000,38684906
The Forsaken,2001,90,5.3,8899,J.S. Cardone,5000000,6755271
Joe Dirt,2001,91,6,58367,Dennie Gordon,16000000,30987695
The Musketeer,2001,104,4.7,14789,Peter Hyams,40000000,27053815
Donnie Darko,2001,113,8,814361,Richard Kelly,4500000,7510154
Tomcats,2001,95,5.3,19021,Gregory Poirier,11000000,13558739
In the Bedroom,2001,131,7.4,40808,Todd Field,1700000,42137871
The Princess Diaries,2001,115,6.4,152017,Garry Marshall,30000000,165334774
Ali,2001,157,6.7,102151,Michael Mann,109000000,87683966
Hedwig and the Angry Inch,2001,95,7.7,36314,John Cameron Mitchell,6000000,3740030
Domestic Disturbance,2001,89,5.6,27963,Harold Becker,53000000,54207112
