tconst,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,writers,Production Budget,Worldwide Gross
tt0119174,The Game,1997,129,7.7,406047,David Fincher,"John Brancato, Michael Ferris",50000000,80369970
tt0119177,Gattaca,1997,106,7.8,310315,Andrew Niccol,Andrew Niccol,36000000,12532777
tt0119210,Switchback,1997,118,6.4,14596,Jeb Stuart,Jeb Stuart,38000000,6504442
tt0119217,Good Will Hunting,1997,126,8.3,993516,Gus Van Sant,"Matt Damon, Ben Affleck",10000000,225925989
tt0119229,Grosse Pointe Blank,1997,107,7.3,96393,George Armitage,"Tom Jankiewicz, D.V. DeVincentis, Steve Pink, John Cusack",15000000,31070412
tt0119282,Hercules,1997,93,7.3,238501,"Ron Clements, John Musker","Ron Clements, John Musker, Don McEnery, Bob Shaw, Irene Mecchi, Kaan Kalyon, nm0927845, nm0142200, nm0708319, nm0811279, Vance Gerry, nm0361315, nm1073262, Francis Glebas, Mark Kennedy, Bruce Morris, Don Dougherty, Thom Enriquez",70000000,250700000
tt0119345,I Know What You Did Last Summer,1997,101,5.8,150950,Jim Gillespie,"Kevin Williamson, Lois Duncan",17000000,125250091
tt0119349,The Ice Storm,1997,112,7.4,57752,Ang Lee,"Rick Moody, James Schamus",18000000,16011975
tt0119360,In & Out,1997,90,6.4,42664,Frank Oz,Paul Rudnick,35000000,83226569
tt0119361,In the Company of Men,1997,97,7.1,13952,Neil LaBute,Neil LaBute,25000,2883661
tt0119395,The Jackal,1997,124,6.4,119915,Michael Caton-Jones,"Kenneth Ross, Chuck Pfarrer",60000000,159356941
tt0119396,Jackie Brown,1997,154,7.5,356525,Quentin Tarantino,"Quentin Tarantino, Elmore Leonard",12000000,74727492
tt0119468,Kiss the Girls,1997,115,6.6,76752,Gary Fleder,"James Patterson, David Klass",27000000,60527873
tt0119485,Kundun,1997,134,7,29072,Martin Scorsese,Melissa Mathison,28000000,5686694
tt0119488,L.A. Confidential,1997,138,8.2,590037,Curtis Hanson,"James Ellroy, Brian Helgeland, Curtis Hanson",35000000,126204977
tt0119528,Liar Liar,1997,86,6.9,316522,Tom Shadyac,"Paul Guay, Stephen Mazur",45000000,302710615
tt0119567,The Lost World: Jurassic Park,1997,129,6.5,426116,Steven Spielberg,"Michael Crichton, David Koepp",75000000,618638999
tt0119572,Love Jones,1997,109,7.3,5202,Theodore Witcher,Theodore Witcher,10000000,12554569
tt0119592,Mad City,1997,114,6.3,20444,Costa-Gavras,"Tom Matthews, Eric Williams",50000000,10561038
tt0119640,McHale's Navy,1997,108,4.5,6911,Bryan Spicer,"Peter Crabbe, Andy Rose",42000000,4408420
tt0119654,Men in Black,1997,98,7.3,580025,Barry Sonnenfeld,"Lowell Cunningham, Ed Solomon",90000000,587790539
tt0119668,Midnight in the Garden of Good and Evil,1997,155,6.6,40263,Clint Eastwood,"John Berendt, John Lee Hancock",35000000,25078937
tt0119695,Money Talks,1997,97,6.2,30250,Brett Ratner,"Joel Cohen, Alec Sokolow",25000000,41076865
tt0119707,Mortal Kombat: Annihilation,1997,95,3.6,55952,John R. Leonetti,"Ed Boon, Lawrence Kasanoff, Joshua Wexler, John Tobias, Brent V. Friedman, Bryce Zabel",30000000,51327406
tt0119738,My Best Friend's Wedding,1997,105,6.3,146783,P.J. Hogan,Ron Bass,46000000,298923419
tt0119874,The Peacemaker,1997,124,6,59905,Mimi Leder,"Leslie Cockburn, Andrew Cockburn, Michael Schiffer",50000000,62967368
